Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,state_abbr,lat,lon
"December 2, 2015",California,San Bernardino,1365 South Waterman Avenue,16,19,,CA,34.0755639,-117.2776234
"December 2, 2015",Georgia,Savannah,100 block of West 33rd Street,1,3,,GA,32.0607278,-81.10002480000001
"November 29, 2015",Illinois,Kankakee,648 E Court St,0,5,,IL,41.1193089,-87.85792959999999
"November 27, 2015",Colorado,Colorado Springs,3480 Centennial Blvd,3,9,,CO,38.88093509999999,-104.8489734
"November 27, 2015",California,Sacramento,7900 block of Florin Road,2,2,,CA,38.4949095,-121.4107057
"November 24, 2015",South Carolina,Horry (county),1321 Colletta Court,0,4,,SC,33.87066739999999,-79.1396831
"November 23, 2015",Ohio,Columbus,90 block of S. Terrace Avenue,4,1,,OH,39.9533603,-83.06637049999999
"November 23, 2015",Minnesota,Minneapolis,Morgan Avenue North,0,5,,MN,44.9878876,-93.3044889
"November 22, 2015",Texas,Brownsville,1800 block of FM 802,0,4,,TX,25.9511986,-97.4899358
"November 22, 2015",Washington,Seattle,Broadway and Pike,0,4,,WA,47.6140896,-122.3207916
"November 22, 2015",New York,Newburgh,203 Broadway,0,5,,NY,41.5001986,-74.0164156
"November 22, 2015",South Carolina,North Charleston,Park Circle,1,3,,SC,32.8814008,-79.98517749999999
"November 22, 2015",Illinois,Chicago,4100 block of West Roosevelt,0,4,,IL,41.8661269,-87.7276188
"November 22, 2015",Louisiana,New Orleans,1900 block of Gallier Street,0,17,,LA,29.9747756,-90.03715539999999
"November 21, 2015",Maryland,Baltimore,Stricker and School,1,3,,MD,39.3057902,-76.64193379999999
"November 20, 2015",Pennsylvania,Pittsburgh,Prospect Drive,1,3,,PA,40.5089714,-80.0352667
"November 18, 2015",California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5,,CA,36.7214086,-119.7998626
"November 16, 2015",Alabama,Cedar Bluff,1460 County Rd 664,3,1,,AL,34.2289049,-85.6846382
"November 15, 2015",Texas,Tennessee Colony,800 block of An County Rd 2217,5,0,,TX,31.807593,-95.806857
"November 15, 2015",Pennsylvania,Philadelphia,5600 block of Blakemore Street,0,4,,PA,40.0482827,-75.1601797
"November 14, 2015",Pennsylvania,Johnstown,1159 Main St,0,4,,PA,40.3435749,-78.8833116
"November 13, 2015",Florida,Jacksonville,1300 block of South Shirley Oaks Drive,4,1,,FL,30.4650546,-81.60746549999999
"November 9, 2015",Indiana,Indianapolis,400 block of North Beville Ave,2,2,,IN,39.7728748,-86.1230483
"November 8, 2015",Iowa,Des Moines,4397 NW 6th Drive,1,3,,IA,41.6401802,-93.6261735
"November 8, 2015",Michigan,Warren,13859 8 Mile Road,0,4,,MI,42.4513095,-82.9832519
"November 7, 2015",Colorado,Denver,Bayaud and Bannock,1,3,,CO,39.7147978,-104.9899697
"November 6, 2015",California,Bakersfield,1000 block of Feliz Drive,0,4,,CA,35.3505533,-118.9895337
"November 3, 2015",Florida,Jacksonville,Ella Street and Kings Road,2,3,,FL,30.347467,-81.6926869
"November 2, 2015",South Carolina,Pendleton,2217 Refuge Road,4,0,,SC,34.645279,-82.74790019999999
"October 28, 2015",Louisiana,Houma,400 block of Morgan Street,1,3,,LA,29.59500809999999,-90.73054630000001
"October 27, 2015",Texas,Fort Worth,1700 block of Southcrest Drive,0,5,,TX,32.6707729,-97.345196
"October 26, 2015",Indiana,Evansville,711 E Virginia St,0,5,,IN,37.981738,-87.5544761
"October 25, 2015",North Carolina,Four Oaks,2339 Stricklands Crossroads Road,0,5,,NC,35.364437,-78.357259
"October 25, 2015",Arizona,Phoenix,Seventh Street and Broadway,1,4,,AZ,33.4067144,-112.0645687
"October 25, 2015",District of Columbia,Washington,4300 block of Wheeler Road SE,0,5,,,38.8326983,-76.98794389999999
"October 24, 2015",South Carolina,Bamberg,682 Dixie Ave.,0,4,,SC,33.3011401,-81.0338983
"October 22, 2015",Tennessee,Nashville,3500 John A. Merritt Blvd,1,3,,TN,36.1682498,-86.8260896
"October 19, 2015",Illinois,Calumet City,300 Campbell Avenue,0,6,,IL,41.629428,-87.550872
"October 18, 2015",Louisiana,New Orleans,2600 block of Caffin Avenue,0,4,,LA,29.977196,-90.011173
"October 17, 2015",Indiana,Elkhart,160 Easy Shopping Place,0,4,,IN,41.6905574,-85.9666711
"October 17, 2015",Florida,Fort Myers,2224 First St,1,4,,FL,26.6440355,-81.8701195
"October 12, 2015",Georgia,Decatur,4731 Glenwood Road,0,4,,GA,33.7360651,-84.2243541
"October 10, 2015",Tennessee,Memphis,6135 Mount Moriah Road,0,6,,TN,35.0699688,-89.8591924
"October 10, 2015",North Carolina,Charlotte,1900 block of West Boulevard,0,4,,NC,35.214263,-80.889749
"October 10, 2015",Illinois,Peoria,2405 N Flora,1,3,,IL,40.7170522,-89.6012307
"October 9, 2015",Arizona,Flagstaff,216 E Mountain View Dr,1,3,,AZ,35.189276,-111.649455
"October 6, 2015",Maryland,Baltimore,300 block of North Payson Street,0,5,,MD,39.2919467,-76.64887159999999
"October 2, 2015",Maryland,Baltimore,5400 Reisterstown Road,1,4,,MD,39.3460007,-76.6883471
"October 1, 2015",Oregon,Roseburg,1140 Umpqua College Rd,10,9,,OR,43.2910295,-123.3345596
"September 28, 2015",Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,0,5,,OH,39.1373897,-84.4719926
"September 28, 2015",Illinois,Chicago,300 block of West 42nd Street,3,2,,IL,41.8184212,-87.6337728
"September 28, 2015",Illinois,Chicago,5300 block of South Aberdeen Street,2,3,,IL,41.797707,-87.65289
"September 28, 2015",Ohio,Dayton,1921 Oakridge,0,4,,OH,39.75841390000001,-84.2358034
"September 27, 2015",Georgia,Greenville,1140 Hill Haven Road,0,10,,GA,33.038321,-84.7217197
"September 27, 2015",Illinois,Chicago,5200 block of South Justine,0,4,,IL,41.7993886,-87.6636807
"September 27, 2015",Missouri,Kansas City,1700 E. 18th St.,0,4,,MO,39.091355,-94.5619258
"September 25, 2015",Illinois,Danville,1300 block of May Street,0,4,,IL,40.124481,-87.6300207
"September 24, 2015",Illinois,Chicago,5100 block of South Morgan Street,0,5,,IL,41.8015233,-87.6502019
"September 23, 2015",Louisiana,Shreveport,2900 block of Peach Street,0,5,,LA,32.5490993,-93.82431079999999
"September 23, 2015",Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4,,FL,26.6429197,-81.8399724
"September 23, 2015",Georgia,Norcross,1300 block of Reddington Lane,1,3,,GA,33.9104879,-84.17448499999999
"September 20, 2015",Pennsylvania,Philadelphia,900 block of Pratt Street,1,3,,PA,40.0306976,-75.09298179999999
"September 20, 2015",Illinois,Chicago,5700 block of South LaSalle,1,5,,IL,41.7909299,-87.6292084
"September 20, 2015",Oklahoma,Tulsa,Pine and Yale,0,6,,OK,36.177029,-95.92211499999999
"September 19, 2015",Indiana,Indianapolis,3900 block of Graceland Avenue,1,3,,IN,39.8263726,-86.16278439999999
"September 17, 2015",South Dakota,Geddes,36705 379th Street,6,0,,SD,43.2948084,-98.60464689999999
"September 17, 2015",Michigan,Albion,500 block of W. Broadwell Street,0,4,,MI,42.2571959,-84.7602608
"September 15, 2015",New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,0,4,,NJ,40.7321149,-74.1892581
"September 13, 2015",Florida,Ocala,1910 South Pine Avenue,1,5,,FL,29.168304,-82.13868080000002
"September 12, 2015",Louisiana,Shreveport,1500 block of Clanton Street,0,4,,LA,32.4580324,-93.7608966
"September 12, 2015",New York,Rochester,36 Woodward Street,2,4,,NY,43.1644189,-77.5993487
"September 12, 2015",Minnesota,Minneapolis,1st Ave. and N. 5th St.,0,6,,MN,44.98037739999999,-93.2737554
"September 12, 2015",Minnesota,Minneapolis,1200 block of 22nd Ave. N.,1,3,,MN,45.0015071,-93.29565919999999
"September 11, 2015",North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,0,5,,NC,35.239118,-80.8460599
"September 10, 2015",Minnesota,Excelsior (Greenwood),Channel Drive,5,0,,MN,44.90794,-93.54409799999999
"September 8, 2015",Georgia,Berlin,,0,4,,GA,31.06824409999999,-83.623778
"September 8, 2015",Illinois,Chicago,56th and Green,0,4,,IL,41.79317349999999,-87.6031311
"September 7, 2015",Indiana,Gary,9300 block of Sunrise,2,4,,IN,41.6020403,-87.3371523
"September 7, 2015",Colorado,Denver,1909 Blake Street,0,4,,CO,39.7537609,-104.9954998
"September 5, 2015",North Carolina,Charlotte,6800 block of Fieldvale Place,1,3,,NC,35.16072279999999,-80.9106417
"September 5, 2015",Florida,Daytona Beach,300 block of Pearl Street,0,4,,FL,29.2131116,-81.0294801
"September 5, 2015",Nevada,Las Vegas,5000 block of Hollywood Boulevard,1,3,,NV,36.1886896,-115.0256325
"September 5, 2015",Missouri,Columbia,1509 Ashley Street,0,4,,MO,38.9676204,-92.3165392
"August 30, 2015",Tennessee,Memphis,3300 block of Sobota Circle,1,4,,TN,35.1495343,-90.0489801
"August 29, 2015",Tennessee,Bristol,618 Henson Road,3,2,,TN,36.5756825,-82.0942981
"August 29, 2015",Texas,Tyler,638 ENE Loop 323,1,3,,TX,32.3903108,-95.2861793
"August 28, 2015",New York,Brooklyn,589 Flatbush Avenue,1,3,,NY,40.6591437,-73.9603643
"August 27, 2015",California,Salinas,928 Blanco Circle,2,2,,CA,36.6544886,-121.6375717
"August 26, 2015",Illinois,Chicago,3025 W. Van Buren Ave,2,2,,IL,41.875697,-87.70203400000001
"August 26, 2015",Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4,,MN,45.0460614,-93.3270926
"August 26, 2015",Florida,West Palm Beach,800 block of 19th Street,2,2,,FL,26.7318343,-80.0594532
"August 25, 2015",Louisiana,New Orleans,Fern Street and Olive Street,1,3,,LA,29.9617748,-90.1111943
"August 23, 2015",California,Modesto,1100 block of Kansas Avenue,1,7,,CA,37.6454378,-121.0234665
"August 22, 2015",Florida,Orlando (Pine Hills),State Road 408,0,4,,FL,28.5490933,-81.4576687
"August 22, 2015",New Mexico,Roswell,302 East Reed Street,3,1,,NM,33.3814315,-104.518173
"August 21, 2015",North Carolina,Durham,2700 block of Hinson Drive,0,8,,NC,36.0296808,-78.8777841
"August 21, 2015",Ohio,Cincinnati,Mathis and Prentice,2,5,,OH,39.159499,-84.390824
"August 20, 2015",Texas,Grulla (La Grulla),FM 2360,2,2,,TX,26.2758608,-98.6462155
"August 19, 2015",New York,Rochester,500 Genesee St,3,4,,NY,43.1402876,-77.6348798
"August 16, 2015",Texas,Fort Worth,3651 Sycamore School Rd,0,6,,TX,32.633589,-97.37230799999999
"August 16, 2015",Illinois,Chicago,5400 block of West Division Street,0,4,,IL,41.902459,-87.76115899999999
"August 16, 2015",South Carolina,Bennettsville,Highway 38N,0,5,,SC,34.6084346,-79.679436
"August 15, 2015",Pennsylvania,Pittsburgh,West Prospect Avenue,1,3,,PA,40.4475329,-80.0743212
"August 15, 2015",California,Los Angeles,57th Street and South Normandie Avenue,0,4,,CA,33.9909671,-118.3002142
"August 15, 2015",South Carolina,Orangeburg,2868 Bamberg Road,1,3,,SC,33.4788256,-80.90899979999999
"August 10, 2015",California,Long Beach,1700 block of East 10th Street,0,4,,CA,33.7789722,-118.170906
"August 9, 2015",Mississippi,Forest,Poplar Street,1,3,,MS,32.3708072,-89.45666589999999
"August 9, 2015",Michigan,Detroit,15200 block of Hazelridge,1,3,,MI,42.4245661,-82.9650328
"August 9, 2015",Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4,,MO,39.055055,-94.59312849999999
"August 8, 2015",North Carolina,Gastonia,4908 Greenwood Drive,2,3,,NC,35.1924356,-81.2398147
"August 8, 2015",Arkansas,Blytheville,833 Anderson Street,1,11,,AR,35.9193552,-89.8966794
"August 8, 2015",Texas,Houston,2211 Falling Oaks,8,0,,TX,29.9198307,-95.4518591
"August 7, 2015",Vermont,Barre (Berlin),3182 Airport Rd,4,0,,VT,44.2157967,-72.5564206
"August 6, 2015",South Carolina,Columbia,1505 Garden Plaza,0,4,,SC,34.01212599999999,-81.0133479
"August 4, 2015",Missouri,Saint Louis,2500 block of Semple,1,4,,MO,38.6719599,-90.26908739999999
"August 3, 2015",New York,Brooklyn,98 Dwight Street,0,5,,NY,40.6759946,-74.0097921
"August 2, 2015",New York,Brooklyn,Stanley Avenue and Crescent Street,0,9,,NY,40.66547140000001,-73.8675196
"August 2, 2015",Maryland,Baltimore,2700 block of Garrison Avenue,0,7,,MD,39.3500062,-76.663854
"August 2, 2015",Illinois,Chicago,4800 block of West Kamerling Avenue,1,4,,IL,41.9050743,-87.7460866
"August 2, 2015",Georgia,Savannah,Barnard Street,0,5,,GA,32.0630579,-81.1003681
"August 2, 2015",Illinois,Chicago,6700 block of South Winchester Avenue,0,4,,IL,41.7720619,-87.6725591
"August 1, 2015",Florida,Orlando,5801 Shenandoah Way,0,4,,FL,28.532374,-81.307914
"July 30, 2015",Pennsylvania,Pittsburgh,Brushton Avenue,0,4,,PA,40.4583162,-79.88856729999999
"July 27, 2015",Illinois,Rockford,900 block of Kent Street,0,5,,IL,42.2637442,-89.1089549
"July 26, 2015",Missouri,Kansas City,Thompson and Colorado,2,3,,MO,39.1071089,-94.5202055
"July 26, 2015",Louisiana,New Orleans,Piety and Treasure street,0,4,,LA,29.9887049,-90.035043
"July 25, 2015",Virginia,Hopewell,500 block of N. 7th Ave,0,4,,VA,37.3058464,-77.2941408
"July 24, 2015",Pennsylvania,Erie,200 block of W 29th St,2,5,,PA,42.1079559,-80.07629399999999
"July 23, 2015",Louisiana,Lafayette,3141 Johnson Street,3,9,,LA,30.2021223,-92.0456135
"July 22, 2015",Missouri,Saint Louis,Fair Ave and Ashland Ave,0,6,,MO,38.664336,-90.2303834
"July 22, 2015",Georgia,Suwanee,5500 block of Old Atlanta Road,5,0,,GA,34.0802264,-84.12719349999999
"July 21, 2015",Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3,,FL,25.9410738,-80.24339429999999
"July 20, 2015",New York,Bronx,E. 153rd St. and the Grand Concourse,0,6,,NY,40.8256289,-73.9302379
"July 19, 2015",Virginia,Suffolk,100 block of North Capitol Street,0,4,,VA,36.7257222,-76.5677611
"July 19, 2015",Kentucky,Louisville,2928 W Kentucky St,0,6,,KY,38.2436435,-85.8023972
"July 19, 2015",North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4,,NC,35.9759061,-77.8457591
"July 18, 2015",California,San Diego,200 block of South Bancroft Street,0,4,,CA,32.7043325,-117.1239213
"July 18, 2015",California,Santa Paula,Ojai-Santa Paula Street,0,5,,CA,34.3712421,-119.0643965
"July 18, 2015",Oregon,Salem,1550 Weston Ct NE,1,4,,OR,44.9488769,-122.9911356
"July 18, 2015",Louisiana,Baton Rouge,300 block of Brice Street,2,2,,LA,30.4456985,-91.17099619999999
"July 17, 2015",Illinois,Chicago,4400 block of W. Maypole,0,5,,IL,41.8848083,-87.7358562
"July 17, 2015",Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4,,OH,39.1436051,-84.5788865
"July 16, 2015",Tennessee,Chattanooga,4051 Amnicola Highway,6,2,,TN,35.0950899,-85.2534476
"July 16, 2015",Texas,Dallas,Singleton and Hampton,0,5,,TX,32.7786654,-96.8566192
"July 15, 2015",Georgia,Atlanta,500 block of Center Hill Avenue,0,5,,GA,33.7689227,-84.4640355
"July 15, 2015",Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3,,MD,39.345746,-76.676779
"July 15, 2015",Ohio,Cleveland,700 block of Thornhill,0,7,,OH,41.5376373,-81.6018428
"July 15, 2015",Michigan,Detroit,9200 block of Memorial,0,4,,MI,42.36245479999999,-83.2113947
"July 15, 2015",South Carolina,Holly Hill,7050 Old State Road,4,1,,SC,33.346705,-80.45002099999999
"July 14, 2015",Missouri,Saint Louis,1100 block of Riverview,0,4,,MO,38.72270049999999,-90.2361475
"July 13, 2015",California,Norwalk,11959 162nd Street,0,4,,CA,33.8844449,-118.0777371
"July 13, 2015",California,Stockton,400 block of McCloud Avenue,1,4,,CA,37.9708937,-121.2913581
"July 12, 2015",Illinois,River Forest,116 Lathrop Avenue,2,3,,IL,41.8818709,-87.814993
"July 12, 2015",New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4,,NJ,40.7319888,-74.0706819
"July 7, 2015",Ohio,Cleveland,East 162nd Street and Miles Avenue,1,3,,OH,41.441101,-81.56837019999999
"July 7, 2015",Maryland,Baltimore,900 block of West Fayette Street,3,1,,MD,39.290137,-76.632362
"July 5, 2015",Louisiana,Shreveport,3500 block of Hearne Avenue,0,8,,LA,32.4801104,-93.7804034
"July 5, 2015",Indiana,Fort Wayne,1400 block of McCulloch Street,0,9,,IN,41.0731137,-85.11799309999999
"July 5, 2015",New Jersey,East Orange,200 block of S. Clinton St,1,3,,NJ,40.75858789999999,-74.22046069999999
"July 4, 2015",District of Columbia,Washington,2600 Douglas Place SE,1,3,,,38.8515678,-76.97733769999999
"July 4, 2015",Kentucky,Louisville,2500 block of West Broadway,0,4,,KY,38.2490704,-85.7936515
"July 4, 2015",Massachusetts,Pittsfield,Dewey Avenue,1,4,,MA,42.454233,-73.260351
"July 4, 2015",New York,Syracuse,Bellevue and Rich Street,0,4,,NY,43.0333763,-76.1612452
"July 4, 2015",Texas,San Antonio,1100 block of West Avenue,0,4,,TX,29.4720014,-98.5259935
"July 2, 2015",Indiana,Indianapolis,500 block of Lynn St,1,3,,IN,39.7746957,-86.1948216
"June 29, 2015",Florida,Opa Locka,13450 NW 30th Ave,0,4,,FL,25.8965262,-80.24805420000001
"June 28, 2015",Michigan,Detroit,Gratiot and Loretto,0,5,,MI,42.41602,-82.99021139999999
"June 28, 2015",Illinois,Venice,1430 Broadway,0,6,,IL,38.6775742,-90.1596218
"June 28, 2015",Delaware,Harrington,100 block of East St,0,6,,DE,38.9210218,-75.57484029999999
"June 27, 2015",Massachusetts,Taunton,Weir Street,1,3,,MA,41.894838,-71.091005
"June 27, 2015",Michigan,Detroit,Stringham Court,0,4,,MI,42.3914329,-82.9727973
"June 24, 2015",New York,New York (Manhattan),2110 Madison Ave,0,4,,NY,40.8107475,-73.9373054
"June 22, 2015",Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7,,PA,39.9973727,-75.11717300000001
"June 21, 2015",Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4,,PA,40.43819149999999,-79.8795557
"June 21, 2015",Kentucky,Lexington,726 Georgetown St,1,4,,KY,38.068558,-84.502293
"June 20, 2015",North Carolina,Morven,6066 Robinson Bridge Rd,0,4,,NC,34.863847,-80.013055
"June 20, 2015",Michigan,Detroit,Dexter and Webb,1,11,,MI,42.3793723,-83.1240522
"June 20, 2015",Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11,,PA,39.9690163,-75.2060563
"June 19, 2015",Rhode Island,Woonsocket,80 River Street,0,4,,RI,42.0003849,-71.51770379999999
"June 17, 2015",South Carolina,Charleston,110 Calhoun Street,9,0,,SC,32.7875114,-79.933094
"June 16, 2015",Florida,Miami Gardens,600 block of Northwest 177th Street,0,4,,FL,25.9362994,-80.21082899999999
"June 15, 2015",New York,Brooklyn,673 Flatbush Avenue,0,4,,NY,40.6568345,-73.95994189999999
"June 14, 2015",New Jersey,Camden,2800 block of Mitchell Street,1,3,,NJ,39.9498745,-75.08743079999999
"June 14, 2015",Oklahoma,Tulsa,1800 block of North Kingston,0,4,,OK,36.1808714,-95.909606
"June 14, 2015",Missouri,Saint Louis,1400 block of North Market Street,0,4,,MO,38.6479724,-90.1961658
"June 13, 2015",Georgia,Fayetteville,600 block of Highway 279,1,4,,GA,33.5326098,-84.4555872
"June 13, 2015",Oklahoma,Oklahoma City,500 block of SE 69th St,0,4,,OK,35.395178,-97.5033841
"June 13, 2015",Georgia,Milledgeville,451 North Flynn Street,1,3,,GA,33.08375,-83.244913
"June 13, 2015",New York,Bronx,2409 Creston Avenue,0,5,,NY,40.8607517,-73.8994688
"June 13, 2015",Ohio,Columbus,1623 E. Hudson Street,4,1,,OH,40.0134323,-82.9663909
"June 12, 2015",Florida,Allapattah,24th Avenue and 36th Street,0,4,,FL,25.8092123,-80.2361427
"June 11, 2015",Connecticut,Bridgeport,468 Trumbull Ave,1,8,,CT,41.2211684,-73.19637110000001
"June 11, 2015",Texas,Houston,3400 block of Burkett,1,3,,TX,29.7282104,-95.3578326
"June 10, 2015",California,Los Angeles,South Vermont Avenue and West 88th Street,1,3,,CA,33.9579315,-118.2916382
"June 9, 2015",Missouri,Saint Louis,North Market Street and North Spring Avenue,1,3,,MO,38.6520436,-90.22562860000001
"June 7, 2015",Montana,Deer Lodge,Boulder Creek Road,5,0,,MT,46.4047651,-112.7183598
"June 6, 2015",New York,Buffalo,100 block of Warren Avenue,1,4,,NY,42.9616961,-78.8660554
"June 6, 2015",Illinois,Chicago,100 block of North Lorel Avenue,0,5,,IL,41.8823201,-87.7587969
"June 5, 2015",Iowa,Davenport,900 block of West 3rd St,0,5,,IA,41.5223834,-90.5859248
"June 5, 2015",Louisiana,New Orleans,2100 block of Governor Nicholls Street,1,3,,LA,29.9704395,-90.0734257
"June 3, 2015",New York,Wyandanch,Davidson Street,3,1,,NY,40.7403082,-73.3625692
"May 31, 2015",Ohio,Cleveland,16209 block of Laverne Avenue,3,1,,OH,41.43672900000001,-81.8116973
"May 31, 2015",Maryland,Springdale,9222 Ardwick Ardmore Road,1,3,,MD,38.937582,-76.846653
"May 31, 2015",Connecticut,New Haven,849 Chapel Street,0,5,,CT,41.3059614,-72.9250861
"May 31, 2015",Georgia,Conyers,4669 Bell Road SE,3,2,,GA,33.5640241,-84.015627
"May 30, 2015",California,San Diego,4200 block of Market Street,0,4,,CA,32.7114963,-117.1046852
"May 28, 2015",Nebraska,Omaha,84th and Q,0,4,,NE,41.2053054,-96.04307229999999
"May 28, 2015",Illinois,Chicago,6200 block of South Honore Street,0,5,,IL,41.7811844,-87.67031519999999
"May 28, 2015",Pennsylvania,Chester,2700 block of West 3rd Street,1,3,,PA,39.832514,-75.390168
"May 26, 2015",Louisiana,New Orleans,6700 block of Tara Lane,2,2,,LA,30.028931,-89.98458590000001
"May 25, 2015",Illinois,Decatur,1816 N Water,1,4,,IL,39.860529,-88.95417909999999
"May 24, 2015",Massachusetts,Brockton,1002 Main St,0,5,,MA,42.0655663,-71.0160217
"May 24, 2015",Michigan,Flint,W. 12th Street and Hammerberg Road.,0,7,,MI,42.9943692,-83.7045381
"May 24, 2015",Alabama,Montgomery,Smiley Court,1,3,,AL,32.3356608,-86.34799810000001
"May 24, 2015",Missouri,Saint Louis,2700 block of Dayton,0,4,,MO,38.6419328,-90.2143913
"May 23, 2015",California,Fresno,2400 block of South 9th Street,2,2,,CA,36.7141647,-119.7585401
"May 20, 2015",Maryland,Baltimore,800 block of Linwood Avenue,1,3,,MD,39.3002241,-76.57698669999999
"May 18, 2015",Missouri,Kinloch,8000 block of School Way,0,4,,MO,38.7449286,-90.319119
"May 18, 2015",Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,1,4,,FL,25.8428541,-80.22429819999999
"May 17, 2015",Texas,Waco,4671 S Jack Kultgen Fwy,9,18,,TX,31.4992,-97.1481481
"May 16, 2015",Wisconsin,Milwaukee,28th Street and Auer Avenue,0,5,,WI,43.0770152,-87.9484914
"May 16, 2015",New York,Rochester,188 Lewis Street,0,4,,NY,43.1641963,-77.5929025
"May 16, 2015",Maryland,Baltimore,1700 block of North Broadway,0,5,,MD,39.3097128,-76.5952528
"May 12, 2015",Maryland,Capitol Heights,Pard Road,1,4,,MD,38.8706451,-76.9261922
"May 12, 2015",Arizona,Tucson,800 block of West Calle Medina Road,5,0,,AZ,32.1297285,-111.123223
"May 10, 2015",Ohio,Cleveland,3600 block of Bosworth Rd,1,4,,OH,41.4544155,-81.76485919999999
"May 10, 2015",New Jersey,Jersey City,Bostwick Avenue,0,4,,NJ,40.7075271,-74.0808485
"May 10, 2015",New Jersey,Newark,19th Avenue and South 16th Street,1,3,,NJ,40.7313611,-74.2099271
"May 7, 2015",Ohio,Cincinnati,2300 block of Baltimore Avenue,0,4,,OH,39.149724,-84.56146799999999
"May 7, 2015",Michigan,Detroit,16000 block of Cathedral Street,0,4,,MI,42.3615387,-83.20318379999999
"May 4, 2015",New York,Buffalo,100 block of Roosevelt Avenue,1,3,,NY,42.9340055,-78.8098426
"May 3, 2015",Indiana,South Bend,1600 block of South William Street,0,4,,IN,41.65779190000001,-86.2560369
"May 3, 2015",Texas,Houston,San Jacinto at Elgin,0,6,,TX,29.7405966,-95.3753177
"May 3, 2015",New York,Bronx,University Avenue,0,4,,NY,40.8574661,-73.90965
"May 3, 2015",Ohio,Dayton,2801 Germantown Street,1,6,,OH,39.73881000000001,-84.2402073
"May 3, 2015",Wisconsin,Menasha,Friendship Trail,4,1,,WI,44.2057197,-88.47098059999999
"May 1, 2015",Wisconsin,Milwaukee,3700 block of 37th Street,2,3,,WI,43.084513,-87.959298
"April 27, 2015",New York,Brooklyn,1365 Flatbush Ave,2,4,,NY,40.6377674,-73.9525486
"April 27, 2015",Arizona,Gila Bend,State Route 85,2,2,,AZ,32.9473514,-112.7167161
"April 25, 2015",New Jersey,Trenton,Wood Street,0,4,,NJ,40.2217229,-74.7613732
"April 25, 2015",New York,Gates,24 Hinchey Rd,1,6,,NY,43.13935,-77.6717106
"April 21, 2015",Texas,Killeen,420 Gilmer St,2,3,,TX,31.124196,-97.7367901
"April 19, 2015",Virginia,Richmond,200 block of West Hill Street,0,4,,VA,37.5546145,-77.4363791
"April 18, 2015",Alabama,Montgomery,1800 block of Gibbs Court,0,5,,AL,32.3573348,-86.3358284
