State,County,County FIPS,Agency Name,Agency ORI9
 AL,AUTAUGA ,001,BUTLER POLICE DEPARTMENT,AL0150100
 AL,BALDWIN ,003,CHOCTAW COUNTY SHERIFF'S OFFICE,AL0150000
 AL,BARBOUR ,005,GILBERTOWN POLICE DEPARTMENT,AL0150200
 AL,BIBB ,007,PENNINGTON POLICE DEPARTMENT,AL0150300
 AL,BLOUNT ,009,SILAS POLICE DEPT,AL0150400
 AL,BULLOCK ,011,TOXEY POLICE DEPARTMENT,AL0150500
 AL,AUTAUGA ,001,CLARKE COUNTY SHERIFF'S OFFICE,AL0160000
 AL,BALDWIN ,003,COFFEEVILLE POLICE DEPARTMENT,AL0160600
 AL,BARBOUR ,005,FULTON POLICE DEPARTMENT,AL0160400
 AL,BIBB ,007,GROVE HILL POLICE DEPARTMENT,AL0160300
 AL,BLOUNT ,009,JACKSON POLICE DEPARTMENT,AL0160100
 AL,BULLOCK ,011,THOMASVILLE POLICE DEPARTMENT,AL0160200
 AL,AUTAUGA ,001,ASHLAND POLICE DEPARTMENT,AL0170100
 AL,BALDWIN ,003,CLAY COUNTY SHERIFF'S OFFICE,AL0170000
 AL,BARBOUR ,005,LINEVILLE POLICE DEPARTMENT,AL0170200
 AL,AUTAUGA ,001,BROWNSVILLE PD,AL0011700
 AL,AUTAUGA ,001,CLEBURNE COUNTY SHERIFF'S OFFICE,AL0180000
 AL,BALDWIN ,003,HEFLIN POLICE DEPARTMENT,AL0180100
 AL,BARBOUR ,005,RANBURNE POLICE DEPARTMENT,AL0180200
 AL,AUTAUGA ,001,COFFEE COUNTY SHERIFF'S OFFICE,AL0190000
 AL,BALDWIN ,003,ELBA POLICE DEPARTMENT,AL0190100
 AL,BARBOUR ,005,ENTERPRISE POLICE DEPARTMENT,AL0190200
 AL,BIBB ,007,ENTERPRISE ST JR COLL CAMPUS PD ENTERPRISE,AL0190500
 AL,BLOUNT ,009,KINSTON POLICE DEPARTMENT,AL0190400
 AL,BULLOCK ,011,NEW BROCKTON POLICE DEPARTMENT,AL0190300
 AL,AUTAUGA ,001,CHEROKEE POLICE DEPARTMENT,AL0200400
 AL,BALDWIN ,003,COLBERT COUNTY SHERIFF'S OFFICE,AL0200000
 AL,BARBOUR ,005,LEIGHTON POLICE DEPARTMENT,AL0200500
 AL,BIBB ,007,LITTLEVILLE POLICE DEPARTMENT,AL0200600
 AL,BLOUNT ,009,MUSCLE SHOALS POLICE DEPARTMENT,AL0200300
 AL,BULLOCK ,011,NORTHWEST SHOALS COMMUNITY COLLEGE POLICE,AL0200800
 AL,BUTLER ,013,SHEFFIELD POLICE DEPARTMENT,AL0200100
 AL,CALHOUN ,015,TUSCUMBIA POLICE DEPARTMENT,AL0200200
 AL,AUTAUGA ,001,CASTLEBERRY PD,AL0210200
 AL,BALDWIN ,003,CONECUH COUNTY SHERIFF'S OFFICE,AL0210000
 AL,BARBOUR ,005,EVERGREEN POLICE DEPARTMENT,AL0210100
 AL,BIBB ,007,REPTON POLICE DEPT,AL0210300
 AL,AUTAUGA ,001,COOSA COUNTY SHERIFF'S OFFICE,AL0220000
 AL,BALDWIN ,003,GOODWATER POLICE DEPARTMENT,AL0220100
 AL,BARBOUR ,005,ROCKFORD POLICE DEPARTMENT,AL0220200
 AL,AUTAUGA ,001,22ND JUDICIAL CIRCUIT DRUG TASK FORCE,AL0230800
 AL,BALDWIN ,003,ANDALUSIA POLICE DEPT.,AL0230100
 AL,BARBOUR ,005,COVINGTON COUNTY SHERIFF'S OFFICE,AL0230000
 AL,BIBB ,007,FLORALA POLICE DEPARTMENT,AL0230300
 AL,BLOUNT ,009,GANTT PD,AL0230400
 AL,BULLOCK ,011,LOCKHART POLICE DEPARTMENT,AL0230600
 AL,BUTLER ,013,OPP POLICE DEPARTMENT,AL0230200
 AL,CALHOUN ,015,RED LEVEL POLICE DEPT,AL0230500
 AL,CHAMBERS ,017,RIVER FALLS POLICE DEPT,AL0230700
 AL,AUTAUGA ,001,BRANTLEY POLICE DEPARTMENT,AL0240200
 AL,BALDWIN ,003,CRENSHAW COUNTY SHERIFF'S OFFICE,AL0240000
 AL,BARBOUR ,005,DOZIER POLICE DEPARTMENT,AL0240300
 AL,BIBB ,007,GLENWOOD POLICE DEPT,AL0240400
 AL,BLOUNT ,009,LUVERNE POLICE DEPARTMENT,AL0240100
 AL,AUTAUGA ,001,CULLMAN COUNTY SHERIFF'S OFFICE,AL0250000
 AL,BALDWIN ,003,CULLMAN POLICE DEPARTMENT,AL0250100
 AL,BARBOUR ,005,GARDEN CITY PD,AL0250300
 AL,BIBB ,007,GOOD HOPE POLICE DEPARTMENT CULLMAN,AL0250400
 AL,BLOUNT ,009,HANCEVILLE POLICE DEPARTMENT,AL0250200
 AL,AUTAUGA ,001,ARITON POLICE DEPARTMENT,AL0260800
 AL,BALDWIN ,003,CLAYHATCHEE POLICE DEPARTMENT,AL0260900
 AL,BARBOUR ,005,DALE COUNTY SHERIFF'S OFFICE,AL0260000
 AL,BIBB ,007,DALEVILLE POLICE DEPARTMENT,AL0260200
 AL,BLOUNT ,009,LEVEL PLAINS POLICE DEPARTMENT,AL0260300
 AL,BULLOCK ,011,MIDLAND CITY POLICE DEPARTMENT,AL0260600
 AL,BUTLER ,013,NAPIER FIELD POLICE DEPARTMENT,AL0260400
 AL,CALHOUN ,015,NEWTON POLICE DEPARTMENT,AL0260500
 AL,CHAMBERS ,017,OZARK POLICE DEPARTMENT,AL0260100
 AL,CHEROKEE ,019,PINCKARD POLICE DEPARTMENT,AL0260700
 AL,AUTAUGA ,001,DALLAS COUNTY SHERIFF'S OFFICE,AL0270000
 AL,BALDWIN ,003,SELMA POLICE DEPARTMENT,AL0270100
 AL,BARBOUR ,005,WALLACE COMMUNITY COLLEGE - SELMA POLICE DEPT,AL0270200
 AL,AUTAUGA ,001,COLLINSVILLE POLICE DEPARTMENT,AL0280200
 AL,BALDWIN ,003,CROSSVILLE POLICE DEPARTMENT,AL0281000
 AL,BARBOUR ,005,DEKALB COUNTY SHERIFF'S OFFICE,AL0280000
 AL,BIBB ,007,FORT PAYNE POLICE DEPARTMENT,AL0280100
 AL,BLOUNT ,009,FYFFE POLICE DEPARTMENT,AL0281100
 AL,BULLOCK ,011,GERALDINE POLICE DEPARTMENT,AL0280300
 AL,BUTLER ,013,HAMMONDVILLE POLICE DEPARTMENT,AL0280800
 AL,CALHOUN ,015,HENEGAR POLICE DEPARTMENT,AL0280400
 AL,CHAMBERS ,017,IDER POLICE DEPARTMENT,AL0281400
 AL,CHEROKEE ,019,MENTONE POLICE DEPARTMENT,AL0280600
 AL,CHILTON ,021,POWELL POLICE DEPARTMENT,AL0280500
 AL,CHOCTAW ,023,RAINSVILLE POLICE DEPARTMENT,AL0280700
 AL,CLARKE ,025,SYLVANIA POLICE DEPARTMENT,AL0281200
 AL,CLAY ,027,VALLEY HEAD POLICE DEPARTMENT,AL0281300
 AL,AUTAUGA ,001,COOSADA POLICE DEPARTMENT,AL0290400
 AL,BALDWIN ,003,ECLECTIC POLICE DEPARTMENT,AL0290300
 AL,BARBOUR ,005,ELMORE COUNTY SHERIFF'S OFFICE,AL0290000
 AL,BIBB ,007,MILLBROOK POLICE DEPARTMENT,AL0290600
 AL,BLOUNT ,009,TALLASSEE POLICE DEPARTMENT,AL0290200
 AL,BULLOCK ,011,WETUMPKA POLICE DEPARTMENT,AL0290100
 AL,AUTAUGA ,001,ATMORE POLICE DEPARTMENT,AL0300100
 AL,BALDWIN ,003,BREWTON POLICE DEPARTMENT,AL0300200
 AL,BARBOUR ,005,EAST BREWTON POLICE DEPARTMENT,AL0300300
 AL,BIBB ,007,ESCAMBIA COUNTY SHERIFF'S OFFICE,AL0300000
 AL,BLOUNT ,009,FLOMATON POLICE DEPARTMENT,AL0300400
 AL,AUTAUGA ,001,POARCH CREEK TRIBAL POLICE DEPT,ALDI00300
 AL,AUTAUGA ,001,ALTOONA POLICE DEPARTMENT,AL0310900
 AL,BALDWIN ,003,ATTALLA POLICE DEPARTMENT,AL0310100
 AL,BARBOUR ,005,ETOWAH COUNTY DRUG ENFORCEMENT UNIT,AL0312200
 AL,BIBB ,007,ETOWAH COUNTY SHERIFF'S OFFICE,AL0310000
 AL,BLOUNT ,009,GADSDEN POLICE DEPARTMENT,AL0310200
 AL,BULLOCK ,011,GLENCOE POLICE DEPARTMENT,AL0310400
 AL,BUTLER ,013,HOKES BLUFF POLICE DEPARTMENT,AL0310600
 AL,CALHOUN ,015,RAINBOW CITY POLICE DEPARTMENT,AL0310500
 AL,CHAMBERS ,017,SARDIS CITY POLICE DEPARTMENT,AL0310800
 AL,CHEROKEE ,019,SOUTHSIDE POLICE DEPARTMENT,AL0310700
 AL,CHILTON ,021,WALNUT GROVE PD,AL0311000
 AL,AUTAUGA ,001,BERRY POLICE DEPARTMENT,AL0320200
 AL,BALDWIN ,003,FAYETTE COUNTY SHERIFF'S OFFICE,AL0320000
 AL,BARBOUR ,005,FAYETTE POLICE DEPARTMENT,AL0320100
 AL,AUTAUGA ,001,FRANKLIN COUNTY SHERIFF'S OFFICE,AL0330000
 AL,BALDWIN ,003,HODGES POLICE DEPT,AL0330500
 AL,BARBOUR ,005,PHIL CAMPBELL POLICE DEPARTMENT,AL0330200
 AL,BIBB ,007,RED BAY POLICE DEPARTMENT,AL0330300
 AL,BLOUNT ,009,RUSSELLVILLE POLICE DEPARTMENT,AL0330100
 AL,BULLOCK ,011,VINA PD,AL0330400
 AL,AUTAUGA ,001,COFFEE SPRINGS PD,AL0340500
 AL,BALDWIN ,003,GENEVA COUNTY SHERIFF'S OFFICE,AL0340000
 AL,BARBOUR ,005,GENEVA POLICE DEPARTMENT,AL0340100
 AL,BIBB ,007,HARTFORD POLICE DEPARTMENT,AL0340300
 AL,BLOUNT ,009,SAMSON POLICE DEPARTMENT,AL0340200
 AL,BULLOCK ,011,SLOCOMB POLICE DEPARTMENT,AL0340400
 AL,AUTAUGA ,001,EUTAW POLICE DEPARTMENT,AL0350100
 AL,BALDWIN ,003,FORKLAND POLICE DEPARTMENT,AL0350200
 AL,BARBOUR ,005,GREENE COUNTY SHERIFF'S OFFICE,AL0350000
 AL,AUTAUGA ,001,GREENSBORO POLICE DEPARTMENT,AL0360100
 AL,BALDWIN ,003,HALE COUNTY SHERIFF'S OFFICE,AL0360000
 AL,BARBOUR ,005,MOUNDVILLE POLICE DEPARTMENT,AL0360200
 AL,AUTAUGA ,001,ABBEVILLE POLICE DEPARTMENT,AL0370100
 AL,BALDWIN ,003,HEADLAND POLICE DEPARTMENT,AL0370200
 AL,BARBOUR ,005,HENRY COUNTY SHERIFF'S OFFICE,AL0370000
 AL,BIBB ,007,NEWVILLE POLICE DEPT,AL0370300
 AL,AUTAUGA ,001,ASHFORD POLICE DEPARTMENT,AL0380200
 AL,BALDWIN ,003,COLUMBIA POLICE DEPARTMENT,AL0380400
 AL,BARBOUR ,005,COTTONWOOD POLICE DEPARTMENT,AL0380500
 AL,BIBB ,007,DOTHAN POLICE DEPARTMENT,AL0380100
 AL,BLOUNT ,009,GORDON POLICE DEPARTMENT,AL0380300
 AL,BULLOCK ,011,HOUSTON COUNTY SHERIFF'S OFFICE,AL0380000
 AL,BUTLER ,013,KINSEY POLICE DEPARTMENT,AL0380600
 AL,CALHOUN ,015,TAYLOR POLICE DEPARTMENT,AL0380900
 AL,CHAMBERS ,017,WALLACE COMMUNITY COLLEGE - DOTHAN POLICE,AL0380800
 AL,CHEROKEE ,019,WEBB POLICE DEPARTMENT,AL0381000
 AL,AUTAUGA ,001,BRIDGEPORT POLICE DEPARTMENT,AL0390200
 AL,BALDWIN ,003,DUTTON PD,AL0390600
 AL,BARBOUR ,005,HOLLYWOOD POLICE DEPARTMENT,AL0390400
 AL,BIBB ,007,JACKSON COUNTY SHERIFF'S OFFICE,AL0390000
 AL,BLOUNT ,009,PISGAH POLICE DEPT,AL0390500
 AL,BULLOCK ,011,SCOTTSBORO POLICE DEPARTMENT,AL0390100
 AL,BUTLER ,013,SECTION POLICE DEPARTMENT,AL0390700
 AL,CALHOUN ,015,SKYLINE POLICE DEPARTMENT,AL0390900
 AL,CHAMBERS ,017,STEVENSON POLICE DEPARTMENT,AL0390300
 AL,CHEROKEE ,019,WOODVILLE POLICE DEPARTMENT,AL0390800
 AL,AUTAUGA ,001,ADAMSVILLE POLICE DEPARTMENT,AL0012200
 AL,BALDWIN ,003,BESSEMER POLICE DEPARTMENT,AL0010100
 AL,BARBOUR ,005,BIRMINGHAM POLICE DEPARTMENT,AL0010200
 AL,BIBB ,007,BRIGHTON POLICE DEPARTMENT,AL0011800
 AL,BLOUNT ,009,BROOKSIDE POLICE DEPARTMENT,AL0012700
 AL,BULLOCK ,011,CARDIFF PD,AL0012800
 AL,BUTLER ,013,FAIRFIELD POLICE DEPARTMENT,AL0010400
 AL,CALHOUN ,015,FIRE AND EXPLOSION INVEST UNIT TRUSSVILLE FIRE,AL0014500
 AL,CHAMBERS ,017,FULTONDALE POLICE DEPARTMENT,AL0011100
 AL,CHEROKEE ,019,GARDENDALE POLICE DEPARTMENT,AL0010500
 AL,CHILTON ,021,GRAYSVILLE PD,AL0011600
 AL,CHOCTAW ,023,HOMEWOOD POLICE DEPARTMENT,AL0011000
 AL,CLARKE ,025,HOOVER POLICE DEPARTMENT,AL0011200
 AL,CLAY ,027,HUEYTOWN POLICE DEPARTMENT,AL0011900
 AL,CLAY ,027,IRONDALE POLICE DEPARTMENT,AL0011300
 AL,CLEBURNE ,029,JEFFERSON COUNTY SHERIFF'S OFFICE,AL0010000
 AL,COFFEE ,031,JEFFERSON STATE COMMUNITY COLLEGE POLICE DEPARTMEN,AL0013400
 AL,COLBERT ,033,KIMBERLY POLICE DEPARTMENT,AL0012900
 AL,CONECUH ,035,LEEDS POLICE DEPARTMENT,AL0010600
 AL,COOSA ,037,LIPSCOMB POLICE DEPARTMENT,AL0012000
 AL,COVINGTON ,039,MIDFIELD POLICE DEPARTMENT,AL0010700
 AL,CRENSHAW ,041,MORRIS POLICE DEPARTMENT,AL0012600
 AL,CULLMAN ,043,MOUNTAIN BROOK POLICE DEPARTMENT,AL0010300
 AL,DALE ,045,NORFOLK SOUTHERN RAILWAY,AL0013500
 AL,DALLAS ,047,PLEASANT GROVE POLICE DEPARTMENT,AL0011400
 AL,DE KALB ,049,ROOSEVELT PD,AL0011500
 AL,ELMORE ,051,SAMFORD UNIVERSITY,AL0014100
 AL,ESCAMBIA ,053,TARRANT POLICE DEPARTMENT,AL0010800
 AL,ESCAMBIA ,053,TRAFFORD POLICE DEPARTMENT,AL0012500
 AL,ETOWAH ,055,TRUSSVILLE POLICE DEPARTMENT,AL0012100
 AL,FAYETTE ,057,UNIVERSITY OF ALABAMA - BIRMINGHAM POLICE DEPT,AL0012400
 AL,FRANKLIN ,059,VESTAVIA HILLS POLICE DEPARTMENT,AL0010900
 AL,GENEVA ,061,WARRIOR POLICE DEPARTMENT,AL0012300
 AL,AUTAUGA ,001,KENNEDY POLICE DEPT,AL0400300
 AL,BALDWIN ,003,LAMAR COUNTY SHERIFF'S OFFICE,AL0400000
 AL,BARBOUR ,005,MILLPORT POLICE DEPARTMENT,AL0400400
 AL,BIBB ,007,SULLIGENT POLICE DEPARTMENT,AL0400100
 AL,BLOUNT ,009,VERNON POLICE DEPARTMENT,AL0400200
 AL,AUTAUGA ,001,ANDERSON POLICE DEPARTMENT,AL0410300
 AL,BALDWIN ,003,FLORENCE POLICE DEPARTMENT,AL0410100
 AL,BARBOUR ,005,KILLEN POLICE DEPARTMENT,AL0410700
 AL,BIBB ,007,LAUDERDALE COUNTY SHERIFF'S OFFICE,AL0410000
 AL,BLOUNT ,009,LEXINGTON POLICE DEPARTMENT,AL0410500
 AL,BULLOCK ,011,ROGERSVILLE POLICE DEPARTMENT,AL0410600
 AL,BUTLER ,013,ST. FLORIAN POLICE DEPARTMENT,AL0410400
 AL,CALHOUN ,015,UNIVERSITY OF NORTH ALABAMA POLICE DEPARTMENT,AL0410800
 AL,CHAMBERS ,017,WATERLOO PD,AL0410200
 AL,AUTAUGA ,001,COURTLAND POLICE DEPARTMENT,AL0420300
 AL,BALDWIN ,003,HILLSBORO POLICE DEPARTMENT,AL0420400
 AL,BARBOUR ,005,LAWRENCE COUNTY SHERIFF'S OFFICE,AL0420000
 AL,BIBB ,007,MOULTON POLICE DEPARTMENT,AL0420100
 AL,BLOUNT ,009,NORTH COURTLAND POLICE DEPARTMENT,AL0420500
 AL,BULLOCK ,011,TOWN CREEK POLICE DEPARTMENT,AL0420200
 AL,AUTAUGA ,001,AUBURN POLICE DEPARTMENT,AL0430100
 AL,BALDWIN ,003,AUBURN UNIVERSITY DEPARTMENT OF PUBLIC SAFETY & SE,AL0430300
 AL,BARBOUR ,005,LEE COUNTY SHERIFF'S OFFICE,AL0430000
 AL,BIBB ,007,OPELIKA POLICE DEPARTMENT,AL0430200
 AL,AUTAUGA ,001,ARDMORE POLICE DEPARTMENT,AL0440200
 AL,BALDWIN ,003,ATHENS POLICE DEPARTMENT,AL0440100
 AL,BARBOUR ,005,ELKMONT POLICE DEPARTMENT,AL0440300
 AL,BIBB ,007,LIMESTONE COUNTY SHERIFF'S OFFICE,AL0440000
 AL,AUTAUGA ,001,2ND JUD CIRC DRUG TASK FRC LOWNDES CO SO DEPT,AL0450700
 AL,BALDWIN ,003,FORT DEPOSIT POLICE DEPARTMENT,AL0450100
 AL,BARBOUR ,005,HAYNEVILLE POLICE DEPARTMENT,AL0450200
 AL,BIBB ,007,LOWNDES COUNTY SHERIFF'S OFFICE,AL0450000
 AL,BLOUNT ,009,MOSSES POLICE DEPARTMENT,AL0450400
 AL,BULLOCK ,011,WHITE HALL POLICE DEPT,AL0450500
 AL,AUTAUGA ,001,MACON COUNTY SHERIFF'S OFFICE,AL0460000
 AL,BALDWIN ,003,NOTASULGA POLICE DEPARTMENT,AL0460200
 AL,BARBOUR ,005,SHORTER POLICE DEPARTMENT,AL0460600
 AL,BIBB ,007,TUSKEGEE POLICE DEPARTMENT,AL0460100
 AL,BLOUNT ,009,TUSKEGEE UNIVERSITY DEPARTMENT OF PUBLIC SAFETY,AL0460700
 AL,AUTAUGA ,001,ALABAMA A & M UNIVERSITY POLICE DEPARTMENT,AL0470800
 AL,BALDWIN ,003,GURLEY POLICE DEPARTMENT,AL0470300
 AL,BARBOUR ,005,HUNTSVILLE - MADISON AIRPORT POLICE DEPARTMENT,AL0470900
 AL,BIBB ,007,HUNTSVILLE POLICE DEPARTMENT,AL0470100
 AL,BLOUNT ,009,MADISON COUNTY SHERIFF'S OFFICE,AL0470000
 AL,BULLOCK ,011,MADISON MORGAN COUNTY HIDTA STAC,AL0471100
 AL,BUTLER ,013,MADISON POLICE DEPARTMENT,AL0470200
 AL,CALHOUN ,015,NEW HOPE POLICE DEPARTMENT,AL0470400
 AL,CHAMBERS ,017,OWENS CROSSROAD POLICE DEPARTMENT,AL0470500
 AL,CHEROKEE ,019,TRIANA POLICE DEPARTMENT,AL0470600
 AL,CHILTON ,021,UNIVERSITY OF ALABAMA - HUNTSVILLE POLICE DEPT,AL0470700
 AL,AUTAUGA ,001,DEMOPOLIS POLICE DEPARTMENT,AL0480100
 AL,BALDWIN ,003,FAUNSDALE PD,AL0480400
 AL,BARBOUR ,005,LINDEN POLICE DEPARTMENT,AL0480200
 AL,BIBB ,007,MARENGO COUNTY SHERIFF'S OFFICE,AL0480000
 AL,BLOUNT ,009,MYRTLEWOOD POLICE DEPT,AL0480500
 AL,BULLOCK ,011,SWEET WATER POLICE DEPARTMENT,AL0480600
 AL,BUTLER ,013,THOMASTON PD,AL0480300
 AL,AUTAUGA ,001,17TH JUD CIRCUIT DRUG TF,AL0480700
 AL,AUTAUGA ,001,BEAR CREEK POLICE DEPARTMENT,AL0490700
 AL,BALDWIN ,003,BRILLIANT POLICE DEPARTMENT,AL0490500
 AL,BARBOUR ,005,GUIN POLICE DEPARTMENT,AL0490300
 AL,BIBB ,007,HACKLEBURG POLICE DEPARTMENT,AL0490400
 AL,BLOUNT ,009,HAMILTON POLICE DEPARTMENT,AL0490100
 AL,BULLOCK ,011,MARION COUNTY SHERIFF'S OFFICE,AL0490000
 AL,BUTLER ,013,WESTON PD,AL0490600
 AL,CALHOUN ,015,WINFIELD POLICE DEPARTMENT,AL0490200
 AL,AUTAUGA ,001,ALBERTVILLE POLICE DEPARTMENT,AL0500100
 AL,BALDWIN ,003,ARAB POLICE DEPARTMENT,AL0500300
 AL,BARBOUR ,005,BOAZ POLICE DEPARTMENT,AL0500400
 AL,BIBB ,007,DOUGLAS POLICE DEPARTMENT,AL0500600
 AL,BLOUNT ,009,GRANT POLICE DEPARTMENT,AL0500500
 AL,BULLOCK ,011,GUNTERSVILLE POLICE DEPARTMENT,AL0500200
 AL,BUTLER ,013,MARSHALL COUNTY DRUG ENFORCEMENT UNIT,AL0500800
 AL,CALHOUN ,015,MARSHALL COUNTY SHERIFF'S OFFICE,AL0500000
 AL,AUTAUGA ,001,BAYOU LA BATRE POLICE DEPARTMENT,AL0020600
 AL,BALDWIN ,003,BISHOP STATE COMMUNITY COLLEGE POLICE,AL0021700
 AL,BARBOUR ,005,CHICKASAW POLICE DEPARTMENT,AL0020300
 AL,BIBB ,007,CITRONELLE POLICE DEPARTMENT,AL0020400
 AL,BLOUNT ,009,CREOLA POLICE DEPARTMENT,AL0021200
 AL,BULLOCK ,011,DAUPHIN ISLAND POLICE DEPARTMENT,AL0021500
 AL,BUTLER ,013,MOBILE COUNTY SHERIFF'S OFFICE,AL0020000
 AL,CALHOUN ,015,MOBILE POLICE DEPARTMENT,AL0020100
 AL,CHAMBERS ,017,MOUNT VERNON POLICE DEPARTMENT,AL0020800
 AL,CHEROKEE ,019,PRICHARD POLICE DEPARTMENT,AL0020200
 AL,CHILTON ,021,SARALAND POLICE DEPARTMENT,AL0020500
 AL,CHOCTAW ,023,SATSUMA POLICE DEPARTMENT,AL0020700
 AL,CLARKE ,025,UNIVERSITY OF SOUTH ALABAMA POLICE DEPARTMENT,AL0021400
 AL,CLAY ,027,WILMER PD,AL0020900
 AL,AUTAUGA ,001,BEATRICE POLICE DEPARTMENT,AL0510300
 AL,BALDWIN ,003,EXCEL POLICE DEPARTMENT,AL0510400
 AL,BARBOUR ,005,FRISCO CITY POLICE DEPARTMENT,AL0510200
 AL,BIBB ,007,MONROE COUNTY SHERIFF'S DEPT,AL0510000
 AL,BLOUNT ,009,MONROEVILLE POLICE DEPARTMENT,AL0510100
 AL,AUTAUGA ,001,ACJIC INVESTIGATIVE UNIT,AL0032000
