year,state_abbr,state_id,population,aggravated_assault,arson,burglary,homicide,larceny,motor_vehicle_theft,property_crime,rape_legacy,rape_revised,robbery,violent_crime
1983,WI,54,4751000,4663,,41980,131,141434,9704,193118,861,,3415,9070
1984,WI,54,4766000,5293,,39755,117,138526,11203,189484,790,,3167,9367
1985,WI,54,4775000,5519,,37987,135,133349,10582,181918,875,,3351,9880
1986,WI,54,4785000,7746,,37464,149,134083,12145,183692,961,,3483,12339
1987,WI,54,4807000,7700,,40502,168,136058,11851,188411,954,,3192,12014
1988,WI,54,4858000,6047,,35423,144,134046,13076,182545,965,,3258,10414
1989,WI,54,4867000,6006,,35683,176,140040,16146,191869,993,,3659,10834
1990,WI,54,4891769,6196,,36755,225,144924,20373,202052,1013,,5514,12948
1991,WI,54,4955000,6330,,37241,239,148695,21624,207560,1259,,5895,13723
1992,WI,54,5007000,6276,,34645,218,146198,21605,202448,1315,,5997,13806
1993,WI,54,5038000,6116,,33400,222,139148,18375,190923,1269,,5714,13321
1994,WI,54,5082000,6590,,32824,227,135559,18321,186704,1192,,5739,13748
1996,WY,56,481000,947,,3184,16,15408,669,19261,140,,98,1201
1997,WY,56,480000,986,,2998,17,15198,647,18843,137,,85,1225
1998,WY,56,481000,957,,2696,23,13759,669,17124,133,,78,1191
1999,WY,56,479602,893,,2349,11,12523,596,15468,137,,74,1115
2000,WY,56,493782,1074,,2078,12,12318,573,14969,160,,70,1316
2001,WY,56,493754,1026,,2481,9,12943,696,16120,153,,84,1272
2002,WY,56,498830,1108,,2448,15,13303,743,16494,148,,93,1364
2003,WY,56,502111,1080,,2611,14,13239,798,16648,136,,84,1314
2004,WY,56,505887,973,,2738,11,13352,799,16889,112,,67,1163
2005,WY,56,508798,958,,2426,14,12905,739,16070,122,,78,1172
2006,WY,56,515004,1071,,2322,13,12255,804,15381,151,,72,1307
2007,WY,56,522830,1067,,2365,21,11875,813,15053,172,,84,1344
2008,WY,56,532668,1046,,2198,12,11584,733,14515,185,,87,1330
2009,WY,56,544270,935,,2176,11,11310,757,14243,172,,78,1196
2010,WY,56,564554,870,71.0,2151,8,11126,592,13869,162,,77,1117
2011,WY,56,567356,1010,58.0,1864,18,10493,521,12878,146,,71,1245
2012,WY,56,576626,932,99.0,2125,14,10513,584,13222,154,,61,1161
1995,WY,56,480000,959,,2938,10,15774,805,19517,165,,86,1220
2016,WY,56,584910,1146,43.0,1771,20,8889,800,11460,205,206.0,59,1431
2017,WY,56,579315,1022,48.0,1593,15,8232,779,10604,0,263.0,76,1376
2015,WY,56,586555,1054,51.0,1762,16,8797,592,11151,124,171.0,59,1300
2013,WY,56,583223,917,45.0,1956,17,10275,578,12809,144,204.0,74,1212
2014,WY,56,584304,899,39.0,1689,16,9185,603,11477,127,174.0,53,1142
1979,WY,56,450000,1224,,3887,41,14607,1635,20129,124,,190,1579
1980,WY,56,468954,1470,,4238,29,15686,1619,21543,134,,208,1841
1981,WY,56,492000,1709,,4728,27,16972,1433,23133,174,,206,2116
1982,WY,56,502000,1173,,4432,46,16903,1254,22589,136,,172,1527
1983,WY,56,514000,926,,3626,30,14932,854,19412,110,,153,1219
1984,WY,56,511000,995,,3279,17,13518,785,17582,107,,118,1237
1985,WY,56,509000,1069,,3515,22,14732,883,19130,114,,102,1307
1986,WY,56,507000,1234,,4144,27,15606,855,20605,111,,114,1486
1987,WY,56,490000,1125,,3516,10,14171,679,18366,154,,98,1387
1988,WY,56,471000,1283,,3103,12,13432,671,17206,113,,71,1479
1989,WY,56,475000,991,,3001,21,13593,652,17246,134,,81,1227
1990,WY,56,453588,1139,,2862,22,14194,676,17732,134,,72,1367
1991,WY,56,460000,1214,,3184,15,14867,711,18762,119,,79,1427
1992,WY,56,466000,1225,,3127,17,16003,701,19831,163,,84,1489
1993,WY,56,470000,1087,,3023,16,14470,728,18221,161,,81,1345
1994,WY,56,476000,1042,,3097,16,15254,771,19122,160,,79,1297
